Decoy,HostName,Failure Rate,New Flows,Failed Decoys
141.214.172.194,www.ummsfacultydevelopment.org,0.2565947242206235,310,107
141.211.217.164,alertus.umflint.edu,0.25668449197860965,139,48
141.211.4.29,keeler.miserver.it.umich.edu,0.25675675675675674,275,95
141.209.28.73,www.techops.cmich.edu,0.25675675675675674,220,76
141.211.3.38,its-mgiststweb.dsc.umich.edu,0.25675675675675674,220,76
141.214.16.38,kc-dev.med.umich.edu,0.25675675675675674,55,19
141.211.3.19,www.dsc.umich.edu,0.2568493150684932,217,75
141.211.4.181,missionstrong.org,0.2569906790945406,558,193
141.211.4.149,cyv.miserver.it.umich.edu,0.2570093457943925,159,55
141.217.156.5,vpn.wayne.edu,0.2571428571428571,78,27
204.38.0.40,mbg.dexterschools.org,0.2571976967370441,387,134
198.108.220.151,www.copesd.org,0.2575107296137339,519,180
141.213.14.217,cone.eecs.umich.edu,0.25766871165644173,121,42
141.211.55.14,csgsites.sph.umich.edu,0.25773195876288657,72,25
141.211.3.40,mgis.med.umich.edu,0.2578125,95,33
141.211.217.149,macytcbd.miserver.it.umich.edu,0.2579505300353357,210,73
141.212.113.97,wiki2.eecs.umich.edu,0.2581818181818182,204,71
141.211.54.240,www.umich.edu,0.25833333333333336,89,31
141.217.8.150,*.cctest.wayne.edu,0.2583732057416268,155,54
141.211.4.121,www.studentlife.umich.edu,0.25862068965517243,86,30
141.217.0.118,*.wayne.edu,0.25874125874125875,106,37
141.214.120.33,qa.umms.med.umich.edu,0.25878594249201275,232,81
141.211.3.16,www.dsc.umich.edu,0.25888324873096447,292,102
141.211.28.13,*.dsc.umich.edu,0.25888324873096447,146,51
141.211.3.53,www.dsc.umich.edu,0.25892857142857145,83,29
164.76.158.106,emich.edu,0.2591397849462366,689,241
141.212.113.155,spqr.eecs.umich.edu,0.25925925925925924,160,56
198.110.194.27,lib.nmu.edu,0.2595419847328244,97,34
141.211.182.79,www.lsi.umich.edu,0.2597402597402597,114,40
148.61.6.121,intranet.gvsu.edu,0.2597402597402597,57,20
164.76.7.114,www.emich.edu,0.25984251968503935,94,33
207.74.55.118,jury.co.muskegon.mi.us,0.25986078886310904,319,112
141.212.113.211,ai.eecs.umich.edu,0.2601626016260163,91,32
141.211.182.63,cobalt-dev.lsi.umich.edu,0.2604166666666667,71,25
164.76.158.20,www.emich.edu,0.26053639846743293,193,68
141.211.159.202,health.dent.umich.edu,0.2608695652173913,102,36
141.212.113.65,lab11.eecs.berkeley.edu,0.2608695652173913,102,36
141.211.21.133,umich.edu,0.2608695652173913,85,30
141.211.160.19,www.dsc.umich.edu,0.2611464968152866,116,41
141.211.55.9,share.sph.umich.edu,0.26136363636363635,130,46
141.211.7.153,www.dsc.umich.edu,0.26153846153846155,192,68
141.219.106.96,vpn-mgmt.it.mtu.edu,0.26153846153846155,96,34
141.211.4.8,services.it.umich.edu,0.2619047619047619,93,33
141.212.113.199,www.eecs.umich.edu,0.2620320855614973,414,147
141.211.186.143,azresearch.sites.uofmhosting.net,0.2620689655172414,107,38
141.218.121.114,literaryworlds.coas.wmich.edu,0.26208651399491095,290,103
141.213.3.66,www.openwireless2020.eecs.umich.edu,0.2621359223300971,76,27
198.108.220.101,www.copesd.org,0.26229508196721313,135,48
207.75.164.248,meetings.internet2.edu,0.26239067055393583,253,90
141.211.4.41,caring4ward.org,0.26285714285714284,129,46
198.109.227.18,www.glenoaks.edu,0.2631578947368421,98,35
